Category: All categories,,
Month,wine: (Australia),beer: (Australia)
2004-01,88,47
2004-02,95,43
2004-03,89,39
2004-04,95,42
2004-05,93,38
2004-06,97,40
2004-07,90,38
2004-08,91,38
2004-09,91,43
2004-10,97,46
2004-11,90,43
2004-12,100,45
2005-01,87,41
2005-02,91,43
2005-03,91,41
2005-04,89,43
2005-05,93,46
2005-06,93,41
2005-07,89,43
2005-08,87,53
2005-09,86,47
2005-10,90,47
2005-11,83,51
2005-12,97,53
2006-01,82,47
2006-02,83,47
2006-03,84,47
2006-04,82,42
2006-05,92,44
2006-06,96,38
2006-07,91,39
2006-08,87,40
2006-09,81,44
2006-10,86,44
2006-11,83,43
2006-12,90,52
2007-01,75,43
2007-02,79,40
2007-03,80,37
2007-04,80,41
2007-05,83,37
2007-06,84,39
2007-07,80,36
2007-08,75,37
2007-09,72,38
2007-10,77,41
2007-11,75,43
2007-12,85,47
2008-01,74,37
2008-02,79,36
2008-03,77,37
2008-04,77,35
2008-05,81,36
2008-06,81,35
2008-07,77,34
2008-08,70,34
2008-09,72,37
2008-10,72,40
2008-11,77,41
2008-12,84,45
2009-01,71,42
2009-02,74,34
2009-03,74,37
2009-04,75,38
2009-05,81,35
2009-06,85,35
2009-07,85,39
2009-08,76,36
2009-09,73,40
2009-10,77,41
2009-11,77,42
2009-12,84,50
2010-01,73,42
2010-02,75,39
2010-03,81,35
2010-04,74,38
2010-05,78,36
2010-06,80,38
2010-07,83,38
2010-08,74,37
2010-09,71,38
2010-10,73,41
2010-11,75,42
2010-12,87,54
2011-01,69,44
2011-02,75,40
2011-03,72,38
2011-04,71,39
2011-05,77,39
2011-06,77,38
2011-07,80,38
2011-08,73,39
2011-09,70,42
2011-10,71,43
2011-11,73,43
2011-12,85,55
2012-01,71,47
2012-02,75,42
2012-03,75,39
2012-04,69,42
2012-05,74,47
2012-06,75,40
2012-07,71,38
2012-08,69,39
2012-09,68,43
2012-10,69,42
2012-11,72,43
2012-12,82,53
2013-01,67,48
2013-02,73,44
2013-03,72,42
2013-04,70,39
2013-05,73,40
2013-06,79,38
2013-07,74,39
2013-08,73,43
2013-09,67,42
2013-10,69,45
2013-11,73,47
2013-12,83,57
2014-01,71,53
2014-02,74,44
2014-03,72,42
2014-04,75,43
2014-05,82,45
2014-06,79,41
2014-07,81,43
2014-08,74,44
2014-09,72,46
2014-10,72,48
2014-11,74,49
2014-12,88,57
2015-01,74,51
2015-02,76,44
2015-03,74,44
2015-04,76,45
2015-05,80,46
2015-06,82,43
2015-07,83,45
2015-08,80,48
2015-09,75,50
2015-10,76,53
2015-11,79,53
2015-12,94,64
2016-01,80,56
2016-02,78,50
2016-03,76,50
2016-04,80,49
2016-05,84,48
2016-06,87,46
2016-07,85,47
2016-08,79,45
