Category: All categories

Month,sugar: (United States),fat: (United States)
2004-01,45,67
2004-02,38,74
2004-03,37,60
2004-04,35,59
2004-05,34,59
2004-06,34,60
2004-07,35,60
2004-08,34,60
2004-09,35,57
2004-10,37,59
2004-11,39,61
2004-12,52,65
2005-01,42,71
2005-02,41,75
2005-03,42,78
2005-04,39,71
2005-05,40,69
2005-06,41,67
2005-07,41,64
2005-08,42,65
2005-09,41,59
2005-10,44,60
2005-11,46,60
2005-12,59,59
2006-01,45,73
2006-02,43,80
2006-03,39,70
2006-04,38,70
2006-05,38,71
2006-06,37,70
2006-07,38,69
2006-08,38,65
2006-09,37,64
2006-10,40,68
2006-11,44,69
2006-12,56,68
2007-01,45,79
2007-02,43,79
2007-03,39,68
2007-04,39,67
2007-05,38,66
2007-06,40,68
2007-07,40,70
2007-08,37,64
2007-09,39,64
2007-10,42,62
2007-11,45,63
2007-12,60,65
2008-01,47,72
2008-02,45,74
2008-03,41,73
2008-04,41,70
2008-05,40,67
2008-06,40,68
2008-07,41,68
2008-08,38,62
2008-09,40,59
2008-10,43,60
2008-11,46,62
2008-12,64,63
2009-01,47,74
2009-02,45,76
2009-03,45,69
2009-04,47,69
2009-05,46,70
2009-06,44,68
2009-07,43,68
2009-08,43,69
2009-09,43,65
2009-10,45,66
2009-11,47,64
2009-12,63,63
2010-01,49,74
2010-02,49,77
2010-03,45,71
2010-04,45,73
2010-05,43,72
2010-06,42,69
2010-07,43,74
2010-08,42,70
2010-09,43,66
2010-10,45,67
2010-11,48,65
2010-12,64,65
2011-01,59,85
2011-02,55,88
2011-03,54,90
2011-04,57,81
2011-05,54,81
2011-06,53,84
2011-07,53,82
2011-08,52,76
2011-09,53,76
2011-10,59,78
2011-11,61,79
2011-12,81,77
2012-01,64,92
2012-02,61,97
2012-03,57,88
2012-04,60,91
2012-05,58,91
2012-06,58,90
2012-07,57,90
2012-08,56,85
2012-09,59,86
2012-10,62,82
2012-11,62,78
2012-12,83,80
2013-01,65,94
2013-02,64,99
2013-03,65,94
2013-04,61,95
2013-05,59,95
2013-06,60,95
2013-07,61,94
2013-08,59,89
2013-09,60,83
2013-10,67,84
2013-11,67,85
2013-12,85,83
2014-01,73,95
2014-02,67,95
2014-03,63,100
2014-04,63,93
2014-05,64,96
2014-06,62,99
2014-07,63,97
2014-08,59,88
2014-09,62,85
2014-10,70,83
2014-11,69,82
2014-12,88,84
2015-01,79,95
2015-02,72,99
2015-03,72,96
2015-04,70,94
2015-05,70,93
2015-06,68,97
2015-07,68,92
2015-08,67,90
2015-09,68,87
2015-10,74,83
2015-11,74,84
2015-12,91,84
2016-01,78,95
2016-02,72,96
2016-03,71,100
2016-04,69,98
2016-05,69,93
2016-06,68,94
2016-07,68,90
2016-08,68,85
2016-09,71,79
