,Week_end,Responses,Self_Report,Other_Report,Vaccinated_Respondents,Total_Respondents,Clinical_Staff,Clinical_Staff_Vaccinated,ILI_Vaccinated,ILI_Unvaccinated,ILI_wAbsence_Vaccinated,ILI_wAbsence_Unvaccinated
1,11-May-14,12727,8013,4714,6839,12727,2407,1774,1.8,2.2,1,1.3
2,18-May-14,15966,9897,6069,8671,15966,3069,2307,2.4,2.6,1.4,1.3
3,25-May-14,16137,10012,6125,8901,16137,3092,2339,2.5,3.3,1.5,1.9
4,1-Jun-14,16311,10137,6174,9159,16311,3201,2455,2.6,3.2,1.5,1.9
5,8-Jun-14,16132,9989,6143,9128,16132,3136,2406,2.6,3,1.4,1.8
6,15-Jun-14,16301,10155,6146,9311,16301,3166,2468,2.6,3.1,1.4,1.7
7,22-Jun-14,16398,10189,6209,9353,16398,3193,2460,2.8,3.5,1.8,2.1
8,29-Jun-14,15383,9600,5783,8846,15383,3042,2369,2.4,3.6,1.5,2.3
9,6-Jul-14,15707,9877,5830,9112,15707,3115,2421,2.8,3.5,1.6,2.2
10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,20-Jul-14,16268,10156,6112,9417,16268,3198,2487,2.9,2.9,1.9,1.8
12,27-Jul-14,16315,10132,6183,9445,16315,3213,2513,3.2,3.3,2,2.1
13,3-Aug-14,16275,10137,6138,9454,16275,3211,2516,3.5,3.8,2.2,2.5
14,10-Aug-14,16391,10160,6231,9532,16391,3211,2522,3.5,4.3,2.2,2.9
15,17-Aug-14,16253,10124,6129,9475,16253,3156,2483,4.1,5,2.8,3.5
16,24-Aug-14,16236,10086,6150,9466,16236,3178,2499,4.3,5,2.8,3.5
17,31-Aug-14,15918,9930,5988,9326,15918,3118,2442,4,4.2,2.7,2.7
18,7-Sep-14,15771,9861,5910,9244,15771,3132,2445,3.3,3.9,2.1,2.8
19,14-Sep-14,15675,9775,5900,9201,15675,3115,2455,3.5,3.5,2.2,2.3
20,21-Sep-14,15310,9619,5691,9018,15310,3054,2395,2.4,3.1,1.4,2.1
21,28-Sep-14,14907,9423,5484,8838,14907,3030,2367,2.2,2.3,1.2,1.5
22,5-Oct-14,15023,9495,5528,8857,15023,2995,2348,2,2,1,0.9
23,12-Oct-14,15489,9713,5776,9131,15489,3050,2388,1.7,1.4,1,0.7
24,19-Oct-14,15653,9686,5967,9163,15653,3142,2470,1.5,1.4,0.8,0.8
25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,10-May-15,20679,12652,8027,9970,20679,4104,2711,1.9,2.6,1,1.6
29,17-May-15,20951,12806,8145,11142,20951,4205,3046,2.2,2.9,1.3,1.8
30,24-May-15,21846,13309,8537,12231,21846,4487,3407,2.3,3.2,1.4,1.8
31,31-May-15,21654,13244,8410,12489,21654,4461,3433,2.7,3.4,1.6,2.1
32,7-Jun-15,21298,13106,8192,12523,21298,4428,3476,2.7,3.2,1.5,1.9
33,14-Jun-15,21739,13346,8393,12946,21739,4496,3574,2.5,3,1.4,1.8
34,21-Jun-15,21553,13228,8325,12897,21553,4452,3541,2.6,3,1.6,1.7
35,28-Jun-15,21019,12982,8037,12769,21019,4345,3485,2.6,3.3,1.6,2
36,5-Jul-15,20352,12658,7694,12500,20352,4228,3390,2.8,2.9,1.8,1.6
37,12-Jul-15,20690,12826,7864,12746,20690,4289,3446,2.6,3.2,1.8,1.9
38,19-Jul-15,21231,13061,8170,13093,21231,4369,3527,2.5,2.9,1.6,1.6
39,26-Jul-15,21333,13099,8234,13214,21333,4385,3540,2.5,3.2,1.6,2.1
40,2-Aug-15,21194,12995,8199,13072,21194,4353,3508,2.8,3.9,1.9,2.6
41,9-Aug-15,21110,12979,8131,13072,21110,4381,3511,3.2,4,2,2.6
42,16-Aug-15,21131,13003,8128,13146,21131,4401,3567,3.6,4.9,2.4,3.6
43,23-Aug-15,21022,12938,8084,13044,21022,4351,3525,3.8,5,2.5,3.6
44,30-Aug-15,20868,12840,8028,12987,20868,4294,3489,3.3,4.7,2.2,3.3
45,6-Sep-15,20702,12751,7951,12914,20702,4245,3455,3.5,4.4,2.2,3.1
46,13-Sep-15,20518,12666,7852,12827,20518,4240,3438,3.3,3.8,2.1,2.4
47,20-Sep-15,19832,12309,7523,12506,19832,4112,3337,2.6,3.4,1.6,2.3
48,27-Sep-15,19424,12065,7359,12249,19424,4065,3306,2.2,2.8,1.3,1.7
49,4-Oct-15,19467,12093,7374,12266,19467,4066,3280,1.9,2.1,1.2,1.2
50,11-Oct-15,20198,12440,7758,12667,20198,4192,3392,1.9,1.4,1.2,0.9
