,Week_end,Responses,Self_Report,Other_Report,Vaccinated_Respondents,Total_Respondents,Total_Clinical_Staff,Clinical_Staff_Vaccinated,ILI_Vaccinated,ILI_Unvaccinated,ILI_wAbsence_Vaccinated,ILI_wAbsence_Unvaccinated
1,18-Jul-10,8954,6370,2584,7442,12396,2954,2181,3.4%,3.2%,1.9%,1.7%
2,25-Jul-10,9069,6450,2619,5798,9069,2057,1599,3.1%,3.2%,1.8%,2.0%
3,01-Aug-10,9305,6566,2739,6013,9305,2145,1695,2.8%,3.4%,1.8%,0.0%
4,08-Aug-10,9684,6905,2779,6219,9684,2226,1727,2.8%,3.9%,1.7%,2.0%
5,15-Aug-10,10113,7204,2909,6478,10113,2275,1771,3.1%,4.2%,1.8%,2.5%
6,22-Aug-10,9966,7064,2902,6390,9966,2275,1775,3.2%,4.2%,2.0%,2.5%
7,29-Aug-10,9649,6889,2760,6268,9649,2182,1723,3.3%,3.9%,1.8%,2.1%
8,05-Sep-10,8924,6396,2528,5805,8924,1999,1588,3.4%,4.2%,2.1%,2.6%
9,12-Sep-10,9378,6726,2652,6091,9378,2135,1686,2.9%,3.5%,1.6%,2.3%
10,19-Sep-10,9357,6670,2687,6047,9357,2106,1655,2.8%,3.2%,1.6%,1.7%
11,26-Sep-10,8783,6298,2485,5695,8783,2006,1575,2.9%,2.9%,1.7%,2.0%
12,03-Oct-10,8755,6288,2467,5695,8755,2023,1585,2.2%,2.9%,1.3%,1.9%
13,10-Oct-10,8951,6420,2531,5831,8951,1989,1559,NA,NA,NA,NA
14,17-Oct-10,9109,6559,2550,5904,9109,2059,1596,2.0%,2.1%,1.0%,1.1%
15,08-May-11,9178,6197,2981,5783,9178,2020,1580,2.4%,3.2%,1.1%,1.4%
16,15-May-11,9804,6706,3098,6191,9802,2193,1725,2.4%,3.0%,1.2%,1.5%
17,22-May-11,10301,7074,3227,6582,10295,2304,1823,2.7%,3.3%,1.3%,1.7%
18,29-May-11,10440,7162,3278,6729,10439,2407,1910,2.7%,3.7%,1.4%,1.8%
19,05-Jun-11,10496,7183,3313,6813,10495,2417,1945,2.9%,3.9%,1.5%,1.9%
20,19-Jun-11,10569,7278,3291,6926,10569,2475,1983,2.6%,3.4%,1.3%,1.9%
21,26-Jun-11,10511,7200,3311,6911,10510,2447,1966,3.2%,3.6%,1.6%,1.6%
22,03-Jul-11,10273,7083,3190,6749,10273,2398,1916,3.4%,3.6%,1.9%,1.9%
23,10-Jul-11,10240,7050,3190,6722,10237,2405,1919,2.9%,3.6%,1.5%,1.4%
24,17-Jul-11,10180,7060,3120,6693,10180,2375,1891,3.1%,3.1%,1.8%,1.5%
25,24-Jul-11,10668,7293,3375,7013,10667,2461,1970,2.4%,3.5%,1.3%,1.7%
26,31-Jul-11,10530,7219,3311,6931,10529,2459,1975,2.9%,3.2%,1.5%,1.8%
27,07-Aug-11,10579,7237,3342,6944,10579,2406,1931,3.0%,3.7%,2.0%,2.1%
28,14-Aug-11,10448,7192,3256,6890,10447,2412,1935,3.6%,4.0%,2.1%,2.6%
29,21-Aug-11,10137,6968,3169,5652,10137,2315,1689,3.1%,3.7%,1.7%,1.7%
30,28-Aug-11,10311,7106,3205,5775,10311,2394,1747,3.3%,3.3%,1.9%,1.8%
31,04-Sep-11,10186,6979,3207,5680,10186,2324,1699,2.9%,3.3%,1.6%,1.6%
32,11-Sep-11,10150,6943,3207,5690,10148,2324,1700,2.8%,3.3%,1.6%,1.4%
33,18-Sep-11,10069,6875,3194,5619,10069,2320,1702,2.6%,3.0%,1.6%,1.6%
34,25-Sep-11,9752,6710,3042,5487,9752,2279,1675,2.7%,2.6%,1.5%,1.4%
35,02-Oct-11,9250,6437,2813,5250,9250,2146,1578,2.6%,2.2%,1.3%,1.3%
36,09-Oct-11,9958,6836,3122,5596,9958,2308,1690,2.2%,2.3%,1.2%,1.2%
37,16-Oct-11,10151,6947,3204,5654,10151,2320,1692,2.3%,2.4%,1.1%,1.3%
38,13-May-12,11814,7681,4133,5497,11814,2394,1595,2.2%,3.2%,1.2%,1.7%
39,20-May-12,10757,6950,3807,5144,10757,1995,1348,2.8%,3.1%,1.5%,1.8%
40,27-May-12,12286,8037,4249,6090,12286,2492,1722,2.8%,4.3%,1.5%,2.7%
41,03-Jun-12,12379,8118,4261,6257,12379,2554,1775,2.8%,4.3%,1.7%,2.6%
42,10-Jun-12,12205,7985,4220,6285,12205,2514,1777,2.9%,3.1%,1.7%,1.7%
43,17-Jun-12,12624,8289,4335,6562,12624,2596,1860,3.0%,3.8%,1.7%,2.3%
44,24-Jun-12,12779,8374,4405,6680,12779,2623,1889,3.1%,4.5%,1.8%,2.6%
45,01-Jul-12,12099,7992,4107,6400,12099,2522,1792,3.5%,4.8%,2.1%,2.9%
46,08-Jul-12,12219,8049,4170,6512,12219,2590,1866,3.6%,4.7%,2.2%,2.8%
47,15-Jul-12,12795,8364,4431,6842,12795,2680,1954,4.4%,4.8%,2.6%,3.1%
48,22-Jul-12,12876,8412,4464,6876,12876,2670,1956,3.8%,4.5%,2.6%,2.8%
49,29-Jul-12,12818,8395,4423,6921,12818,2633,1933,3.8%,3.9%,2.5%,2.4%
50,05-Aug-12,12862,8389,4473,6931,12862,2635,1925,3.6%,4.4%,2.4%,2.9%
51,12-Aug-12,12863,8387,4476,6950,12862,2641,1941,3.9%,4.9%,2.5%,3.2%
52,19-Aug-12,12728,8335,4393,6914,12726,2599,1931,3.5%,4.4%,2.4%,2.9%
53,26-Aug-12,12669,8276,4393,6900,12669,2586,1905,3.2%,3.6%,1.9%,2.3%
54,02-Sep-12,12701,8265,4436,6905,12701,2622,1931,3.0%,3.2%,1.9%,1.9%
55,09-Sep-12,12462,8130,4332,6756,12462,2547,1858,2.5%,3.3%,1.4%,1.9%
56,16-Sep-12,12471,8139,4332,6761,12471,2575,1886,2.1%,2.5%,1.2%,1.4%
57,23-Sep-12,11793,7801,3992,6461,11793,2475,1810,2.3%,2.1%,1.4%,1.1%
58,30-Sep-12,11475,7547,3928,6279,11475,2405,1767,1.8%,2.0%,1.1%,0.9%
59,07-Oct-12,11825,7788,4037,6477,11825,2455,1815,1.7%,1.7%,0.8%,0.8%
60,14-Oct-12,12105,7873,4232,6560,12105,2458,1804,1.8%,1.8%,1.0%,1.2%
61,05-May-13,13837,8804,5033,7293,13837,2756,1976,1.7%,1.9%,0.9%,1.1%
62,12-May-13,14102,8952,5150,7679,14098,2762,2024,2.0%,2.1%,1.1%,1.0%
63,19-May-13,14639,9382,5257,8187,14638,2860,2146,1.8%,2.2%,1.0%,1.3%
64,26-May-13,14816,9481,5335,8445,14816,2922,2220,2.2%,2.7%,1.2%,1.8%
65,02-Jun-13,13958,8957,5001,8084,13958,2706,2080,2.5%,2.9%,1.4%,1.8%
66,09-Jun-13,14502,9325,5177,8405,14502,2856,2195,2.7%,2.8%,1.5%,1.5%
67,16-Jun-13,14574,9398,5176,8568,14574,2862,2211,2.4%,2.5%,1.3%,1.4%
68,23-Jun-13,14544,9354,5190,8520,14543,2861,2206,2.6%,2.7%,1.5%,1.4%
69,30-Jun-13,14295,9254,5041,8503,14295,2828,2186,2.7%,3.0%,1.6%,1.7%
70,07-Jul-13,14030,9078,4952,8362,14027,2779,2167,2.5%,2.8%,1.5%,1.5%
71,14-Jul-13,12900,8350,4550,7683,12900,2517,1944,2.6%,2.7%,1.4%,1.4%
72,21-Jul-13,14672,9408,5264,8729,14671,2917,2272,2.4%,2.1%,1.4%,1.0%
73,28-Jul-13,14782,9540,5242,8793,14782,2963,2313,2.4%,2.7%,1.5%,1.6%
74,04-Aug-13,14716,9542,5174,8843,14715,3006,2349,2.8%,3.0%,1.7%,1.6%
75,11-Aug-13,14799,9547,5252,8859,14797,3072,2394,2.7%,3.5%,1.7%,2.3%
76,18-Aug-13,14638,9478,5160,8787,14636,3034,2377,3.2%,3.9%,1.8%,2.4%
77,25-Aug-13,14741,9504,5237,8818,14741,3046,2389,3.1%,4.4%,1.9%,2.6%
78,01-Sep-13,14546,9360,5186,8706,14545,2974,2342,2.8%,4.0%,1.7%,2.4%
79,08-Sep-13,14473,9342,5131,8671,14465,2957,2321,2.5%,3.0%,1.5%,1.7%
80,15-Sep-13,14623,9432,5191,8756,14614,2982,2344,2.6%,2.7%,1.6%,1.7%
81,22-Sep-13,13936,9021,4915,8369,13926,2843,2237,2.2%,2.5%,1.4%,1.5%
82,29-Sep-13,13392,8740,4652,8103,13389,2753,2155,2.1%,2.7%,1.2%,1.6%
83,06-Oct-13,13911,8977,4934,8313,13909,2870,2244,1.8%,2.6%,1.0%,1.7%
84,13-Oct-13,14197,9207,4990,8561,14195,2930,2304,1.7%,2.0%,0.9%,1.1%
85,20-Oct-13,13689,8843,4846,8180,13680,2772,2170,1.6%,1.7%,1.0%,0.9%
86,11-May-14,12727,8013,4714,6839,12727,2407,1774,180.0%,220.0%,100.0%,130.0%
87,18-May-14,15966,9897,6069,8671,15966,3069,2307,240.0%,260.0%,140.0%,130.0%
88,25-May-14,16137,10012,6125,8901,16137,3092,2339,250.0%,330.0%,150.0%,190.0%
89,01-Jun-14,16311,10137,6174,9159,16311,3201,2455,260.0%,320.0%,150.0%,190.0%
90,08-Jun-14,16132,9989,6143,9128,16132,3136,2406,260.0%,300.0%,140.0%,180.0%
91,15-Jun-14,16301,10155,6146,9311,16301,3166,2468,260.0%,310.0%,140.0%,170.0%
92,22-Jun-14,16398,10189,6209,9353,16398,3193,2460,280.0%,350.0%,180.0%,210.0%
93,29-Jun-14,15383,9600,5783,8846,15383,3042,2369,240.0%,360.0%,150.0%,230.0%
94,06-Jul-14,15707,9877,5830,9112,15707,3115,2421,280.0%,350.0%,160.0%,220.0%
95,13-Jul-14,15414,9676,5738,8986,15413,3033,2385,2.5%,3.5%,1.4%,2.0%
96,20-Jul-14,16268,10156,6112,9417,16268,3198,2487,290.0%,290.0%,190.0%,180.0%
97,27-Jul-14,16315,10132,6183,9445,16315,3213,2513,320.0%,330.0%,200.0%,210.0%
98,03-Aug-14,16275,10137,6138,9454,16275,3211,2516,350.0%,380.0%,220.0%,250.0%
99,10-Aug-14,16391,10160,6231,9532,16391,3211,2522,350.0%,430.0%,220.0%,290.0%
100,17-Aug-14,16253,10124,6129,9475,16253,3156,2483,410.0%,500.0%,280.0%,350.0%
